group,method,environment,seeds,min_final_steps,max_final_steps
no_shared,Curv256 d=.03 (5s),ant,5,9990000.0,9990000.0
no_shared,Curv256 d=.03 (5s),halfcheetah,5,9990000.0,9990000.0
no_shared,Curv256 d=.03 (5s),hopper,5,9990000.0,9990000.0
no_shared,Curv256 d=.03 (5s),humanoid,5,9990000.0,9990000.0
no_shared,Curv256 d=.03 (5s),humanoidstandup,5,9990000.0,9990000.0
no_shared,Curv256 d=.03 (5s),swimmer,5,9990000.0,9990000.0
no_shared,Curv256 d=.03 (5s),walker2d,5,9990000.0,9990000.0
no_shared,Curv256 d=.1 (5s),ant,5,9990000.0,9990000.0
no_shared,Curv256 d=.1 (5s),halfcheetah,5,9990000.0,9990000.0
no_shared,Curv256 d=.1 (5s),hopper,5,9990000.0,9990000.0
no_shared,Curv256 d=.1 (5s),humanoid,5,9990000.0,9990000.0
no_shared,Curv256 d=.1 (5s),humanoidstandup,5,9990000.0,9990000.0
no_shared,Curv256 d=.1 (5s),swimmer,5,9990000.0,9990000.0
no_shared,Curv256 d=.1 (5s),walker2d,5,9990000.0,9990000.0
no_shared,Energy-free255+1 d=.03 (5s),ant,5,9990000.0,9990000.0
no_shared,Energy-free255+1 d=.03 (5s),halfcheetah,5,9990000.0,9990000.0
no_shared,Energy-free255+1 d=.03 (5s),hopper,5,9990000.0,9990000.0
no_shared,Energy-free255+1 d=.03 (5s),humanoid,5,9990000.0,9990000.0
no_shared,Energy-free255+1 d=.03 (5s),humanoidstandup,5,9990000.0,9990000.0
no_shared,Energy-free255+1 d=.03 (5s),swimmer,5,9990000.0,9990000.0
no_shared,Energy-free255+1 d=.03 (5s),walker2d,5,9990000.0,9990000.0
no_shared,Energy-free255+1 d=.1 (5s),ant,5,9990000.0,9990000.0
no_shared,Energy-free255+1 d=.1 (5s),halfcheetah,5,9990000.0,9990000.0
no_shared,Energy-free255+1 d=.1 (5s),hopper,5,9990000.0,9990000.0
no_shared,Energy-free255+1 d=.1 (5s),humanoid,5,9990000.0,9990000.0
no_shared,Energy-free255+1 d=.1 (5s),humanoidstandup,5,9990000.0,9990000.0
no_shared,Energy-free255+1 d=.1 (5s),swimmer,5,9990000.0,9990000.0
no_shared,Energy-free255+1 d=.1 (5s),walker2d,5,9990000.0,9990000.0
no_shared,Grouped-rho4 legacy d=.03 (5s),ant,5,9990000.0,9990000.0
no_shared,Grouped-rho4 legacy d=.03 (5s),halfcheetah,5,9990000.0,9990000.0
no_shared,Grouped-rho4 legacy d=.03 (5s),hopper,5,9990000.0,9990000.0
no_shared,Grouped-rho4 legacy d=.03 (5s),humanoid,5,9990000.0,9990000.0
no_shared,Grouped-rho4 legacy d=.03 (5s),humanoidstandup,5,9990000.0,9990000.0
no_shared,Grouped-rho4 legacy d=.03 (5s),swimmer,5,9990000.0,9990000.0
no_shared,Grouped-rho4 legacy d=.03 (5s),walker2d,5,9990000.0,9990000.0
no_shared,Grouped-rho4 legacy d=.1 (5s),ant,5,9990000.0,9990000.0
no_shared,Grouped-rho4 legacy d=.1 (5s),halfcheetah,5,9990000.0,9990000.0
no_shared,Grouped-rho4 legacy d=.1 (5s),hopper,5,9990000.0,9990000.0
no_shared,Grouped-rho4 legacy d=.1 (5s),humanoid,5,9990000.0,9990000.0
no_shared,Grouped-rho4 legacy d=.1 (5s),humanoidstandup,5,9990000.0,9990000.0
no_shared,Grouped-rho4 legacy d=.1 (5s),swimmer,5,9990000.0,9990000.0
no_shared,Grouped-rho4 legacy d=.1 (5s),walker2d,5,9990000.0,9990000.0
no_shared,Grouped-rho4 aligned d=.03 (5s),ant,5,9994240.0,9994240.0
no_shared,Grouped-rho4 aligned d=.03 (5s),halfcheetah,5,9994240.0,9994240.0
no_shared,Grouped-rho4 aligned d=.03 (5s),hopper,5,9994240.0,9994240.0
no_shared,Grouped-rho4 aligned d=.03 (5s),humanoid,5,9994240.0,9994240.0
no_shared,Grouped-rho4 aligned d=.03 (5s),humanoidstandup,5,9994240.0,9994240.0
no_shared,Grouped-rho4 aligned d=.03 (5s),swimmer,5,9990000.0,9990000.0
no_shared,Grouped-rho4 aligned d=.03 (5s),walker2d,5,9994240.0,9994240.0
no_shared,Hier16x64 d=.03 (5s),ant,5,9990000.0,9990000.0
no_shared,Hier16x64 d=.03 (5s),halfcheetah,5,9990000.0,9990000.0
no_shared,Hier16x64 d=.03 (5s),hopper,5,9990000.0,9990000.0
no_shared,Hier16x64 d=.03 (5s),humanoid,5,9990000.0,9990000.0
no_shared,Hier16x64 d=.03 (5s),humanoidstandup,5,9990000.0,9990000.0
no_shared,Hier16x64 d=.03 (5s),swimmer,5,9990000.0,9990000.0
no_shared,Hier16x64 d=.03 (5s),walker2d,5,9990000.0,9990000.0
